,index,osm_type,osm_id,lat,lng,name,full_name
294,294,,,,,,
295,295,,,,,,
296,296,,,,,,
297,297,,,,,,
298,298,,,,,,
299,299,,,,,,
300,300,,,,,,
301,301,node,594798517.0,-37.812254,144.9666308,Dragon Boat Restaurant,"Dragon Boat Restaurant, 203, Little Bourke Street, Chinatown, Melbourne, City of Melbourne, Victoria, 3000, Australia"
302,302,,,,,,
303,303,,,,,,
304,304,,,,,,
305,305,,,,,,
306,306,,,,,,
307,307,,,,,,
308,308,,,,,,
309,309,,,,,,
310,310,way,13858293.0,-37.8162521,144.969026,Hosier Lane,"Hosier Lane, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
311,311,,,,,,
312,312,,,,,,
313,313,,,,,,
314,314,,,,,,
315,315,,,,,,
316,316,,,,,,
317,317,,,,,,
318,318,,,,,,
319,319,,,,,,
320,320,,,,,,
321,321,,,,,,
322,322,,,,,,
323,323,node,2873300635.0,-26.378586,153.1041154,Tea Tree Bay,"Tea Tree Bay, Noosa Heads, Queensland, 4567, Australia"
324,324,,,,,,
325,325,way,61376690.0,-26.397538,153.1102947,Dolphin Bay Drive,"Dolphin Bay Drive, Noosa Heads, Sunshine Beach, Noosa Shire, Queensland, 4567, Australia"
326,326,,,,,,
327,327,,,,,,
328,328,,,,,,
329,329,,,,,,
330,330,,,,,,
331,331,,,,,,
332,332,,,,,,
333,333,,,,,,
334,334,,,,,,
335,335,relation,11676219.0,-26.4051292,153.1117838,Sunshine Beach,"Sunshine Beach, Noosa Shire, Queensland, Australia"
336,336,,,,,,
337,337,,,,,,
338,338,,,,,,
339,339,,,,,,
340,340,,,,,,
341,341,,,,,,
342,342,,,,,,
343,343,,,,,,
344,344,,,,,,
345,345,,,,,,
346,346,,,,,,
347,347,,,,,,
348,348,,,,,,
349,349,,,,,,
350,350,,,,,,
351,351,,,,,,
352,352,,,,,,
353,353,,,,,,
354,354,,,,,,
355,355,,,,,,
356,356,,,,,,
357,357,,,,,,
358,358,,,,,,
359,359,,,,,,
360,360,,,,,,
361,361,,,,,,
362,362,,,,,,
363,363,,,,,,
364,364,,,,,,
365,365,,,,,,
366,366,,,,,,
367,367,,,,,,
368,368,,,,,,
369,369,,,,,,
370,370,,,,,,
371,371,,,,,,
372,372,,,,,,
373,373,,,,,,
374,374,,,,,,
375,375,,,,,,
376,376,,,,,,
377,377,,,,,,
378,378,,,,,,
379,379,,,,,,
380,380,,,,,,
381,381,,,,,,
